Name	ID	NumProbes	NumGenes	ROC	Pval	CorrectedPvalue	Same as	GeneMembers
keratinization	GO:0031424	38	38	0.63388356	2.04E-003	0.23408614		
fertilization	GO:0009566	111	111	0.57808973	2.25E-003	0.25248905		
mRNA metabolic process	GO:0016071	473	469	0.53836295	2.28E-003	0.24959312		
transcriptionally active chromatin	GO:0035327	10	10	0.75222512	2.28E-003	0.24439105		
chromosome	GO:0005694	558	557	0.53502572	2.44E-003	0.25570861		
RNA splicing, via transesterification reactions with bulged adenosine as nucleophile	GO:0000377	149	146	0.56686919	2.67E-003	0.27315271	GO:0000398|mRNA splicing, via spliceosome, 	
mRNA splicing, via spliceosome	GO:0000398	149	146	0.56686919	2.67E-003	0.27315271	GO:0000377|RNA splicing, via transesterification reactions with bulged adenosine as nucleophile, 	
cis-Golgi network	GO:0005801	29	29	0.64665443	2.96E-003	0.296827		
protein localization to chromosome	GO:0034502	18	18	0.68434604	3.06E-003	0.30095679		
regulation of type I interferon-mediated signaling pathway	GO:0060338	31	31	0.63906658	3.52E-003	0.33872122		
clathrin coat of coated pit	GO:0030132	11	11	0.7287244	3.70E-003	0.34903783		
retrograde vesicle-mediated transport, Golgi to ER	GO:0006890	19	19	0.67444961	3.91E-003	0.36217275		
termination of RNA polymerase I transcription	GO:0006363	21	21	0.66606926	3.92E-003	0.3564768		
transcription elongation from RNA polymerase I promoter	GO:0006362	18	18	0.67886068	3.95E-003	0.35266778		
mRNA transport	GO:0051028	99	98	0.57715066	4.17E-003	0.36553719		
nucleic acid transport	GO:0050657	113	112	0.57171275	4.40E-003	0.37824923	GO:0051236|establishment of RNA localization, GO:0050658|RNA transport, 	
RNA transport	GO:0050658	113	112	0.57171275	4.40E-003	0.37824923	GO:0051236|establishment of RNA localization, GO:0050657|nucleic acid transport, 	
establishment of RNA localization	GO:0051236	113	112	0.57171275	4.40E-003	0.37824923	GO:0050658|RNA transport, GO:0050657|nucleic acid transport, 	
RNA localization	GO:0006403	118	117	0.57009915	4.43E-003	0.37468668		
regulation of chromosome organization	GO:0033044	139	139	0.56419571	4.52E-003	0.37532842		
DNA-templated transcription, termination	GO:0006353	71	69	0.59005032	4.86E-003	0.39679549		
nucleobase-containing compound transport	GO:0015931	136	135	0.56438612	4.93E-003	0.39578059		
DNA repair complex	GO:1990391	28	27	0.64201883	5.10E-003	0.40278297		
response to protozoan	GO:0001562	15	15	0.6873922	5.52E-003	0.42876453		
T cell activation involved in immune response	GO:0002286	39	38	0.61804255	5.78E-003	0.44166555		
somatic diversification of immune receptors	GO:0002200	36	35	0.6228158	5.81E-003	0.43761955		
positive regulation of transcription elongation from RNA polymerase II promoter	GO:0032968	11	11	0.71542198	6.00E-003	0.44453723		
B cell activation involved in immune response	GO:0002312	23	23	0.64952158	6.25E-003	0.45589652		
cell-type specific apoptotic process	GO:0097285	61	61	0.59192758	6.50E-003	0.46760512		
cell-cell recognition	GO:0009988	42	42	0.60962968	6.88E-003	0.4876608		
acute-phase response	GO:0006953	35	35	0.61980942	6.94E-003	0.48452975		
defense response to protozoan	GO:0042832	13	13	0.69413408	7.11E-003	0.48926689		
ribonucleoprotein complex biogenesis	GO:0022613	198	197	0.5503674	7.46E-003	0.50644834		
transcription initiation from RNA polymerase I promoter	GO:0006361	23	23	0.64526965	7.65E-003	0.51219313		
positive regulation of receptor biosynthetic process	GO:0010870	11	11	0.70703207	8.01E-003	0.5286522		
chromatin	GO:0000785	267	267	0.5428322	8.09E-003	0.52693545		
MLL1/2 complex	GO:0044665	22	22	0.64473154	9.09E-003	0.58372923	GO:0071339|MLL1 complex, 	
MLL1 complex	GO:0071339	22	22	0.64473154	9.09E-003	0.58372923	GO:0044665|MLL1/2 complex, 	
chromosomal region	GO:0098687	167	167	0.5529834	9.14E-003	0.57967484		
negative regulation of meiotic cell cycle	GO:0051447	13	13	0.68583827	9.59E-003	0.60015964		
rRNA metabolic process	GO:0016072	87	87	0.57218158	0.01000864	0.6182261		
nuclear body	GO:0016604	248	245	0.54304003	0.0102728	0.62651066		
membrane fusion	GO:0061025	74	73	0.578429	0.01027724	0.61894656		
regulation of intracellular estrogen receptor signaling pathway	GO:0033146	16	16	0.66432205	0.01098914	0.65365037		
negative regulation of retinoic acid receptor signaling pathway	GO:0048387	18	18	0.6548523	0.01108635	0.65139039		
catalytic step 2 spliceosome	GO:0071013	65	64	0.58238316	0.01134653	0.65864569		
anterior/posterior pattern specification	GO:0009952	173	173	0.55012469	0.01155076	0.66251878		
stem cell maintenance	GO:0019827	82	82	0.57219023	0.01194724	0.6771978		
response to virus	GO:0009615	190	190	0.54723871	0.01246397	0.69827239		
B cell proliferation	GO:0042100	23	23	0.63397079	0.01281203	0.7095215		
microtubule anchoring	GO:0034453	22	22	0.63687731	0.01285015	0.70354563		
DNA repair	GO:0006281	321	318	0.53642948	0.0129233	0.69960044		
negative regulation of chromosome organization	GO:2001251	69	69	0.57721462	0.01330722	0.71237965		
nucleus organization	GO:0006997	75	75	0.57389654	0.01349096	0.71427976		
negative regulation of DNA metabolic process	GO:0051053	67	66	0.57874265	0.01350041	0.70701065		
embryonic skeletal system morphogenesis	GO:0048704	81	81	0.57110697	0.01350456	0.69962309		
response to X-ray	GO:0010165	21	21	0.6385234	0.01370379	0.70239224		
double-strand break repair via nonhomologous end joining	GO:0006303	16	16	0.65833966	0.01374245	0.69695936		
detection of chemical stimulus involved in sensory perception of bitter taste	GO:0001580	12	12	0.68108264	0.01434227	0.71980282		
immunoglobulin production involved in immunoglobulin mediated immune response	GO:0002381	23	23	0.63133034	0.01437584	0.71404946		
positive regulation of viral genome replication	GO:0045070	13	13	0.67303955	0.01485297	0.7302206		
intestinal epithelial cell differentiation	GO:0060575	13	13	0.67277798	0.01498173	0.72911068		
negative regulation of JNK cascade	GO:0046329	25	25	0.62424404	0.01556649	0.74999367		
secretory granule organization	GO:0033363	20	20	0.63868538	0.01560378	0.74434661		
regulation of gene silencing	GO:0060968	17	17	0.6499314	0.01580761	0.74667712		
somatic diversification of immune receptors via germline recombination within a single locus	GO:0002562	32	31	0.61097362	0.01612477	0.75426373	GO:0016444|somatic cell DNA recombination, 	
somatic cell DNA recombination	GO:0016444	32	31	0.61097362	0.01612477	0.75426373	GO:0002562|somatic diversification of immune receptors via germline recombination within a single locus, 	
regulation of T cell cytokine production	GO:0002724	13	13	0.67009678	0.0163562	0.75773261		
endodermal cell differentiation	GO:0035987	12	12	0.67669561	0.01648019	0.75620525		
production of molecular mediator of immune response	GO:0002440	50	49	0.58776367	0.01681794	0.76442297		
regulation of lymphocyte chemotaxis	GO:1901623	13	13	0.66923264	0.01682102	0.75741747		
immunoglobulin production	GO:0002377	41	40	0.59672997	0.01711236	0.76340131		
spliceosomal complex assembly	GO:0000245	25	24	0.62449363	0.01718388	0.75955892		
negative regulation of endopeptidase activity	GO:0010951	134	133	0.55309863	0.01731507	0.75839998		
positive regulation of lymphocyte apoptotic process	GO:0070230	13	13	0.66831244	0.01732804	0.75213049		
rRNA processing	GO:0006364	84	84	0.56653656	0.01755809	0.75531141		
epithelial cell apoptotic process	GO:1904019	13	13	0.66677566	0.01820312	0.77612967		
cornified envelope	GO:0001533	17	17	0.64587621	0.01833155	0.77474915		
phosphatidylinositol acyl-chain remodeling	GO:0036149	13	13	0.66645803	0.0183885	0.77039803		
positive regulation of T-helper 1 type immune response	GO:0002827	13	13	0.66613105	0.01858095	0.77175033		
regulation of DNA recombination	GO:0000018	43	42	0.59291348	0.01861405	0.76651699		
regulation of mRNA splicing, via spliceosome	GO:0048024	28	28	0.61313829	0.01900879	0.77613857		
regulation of symbiosis, encompassing mutualism through parasitism	GO:0043903	141	140	0.55068343	0.01929622	0.78125378		
cytoplasmic stress granule	GO:0010494	20	20	0.63327866	0.01929736	0.77478905		
mRNA 3'-end processing	GO:0031124	48	47	0.58717138	0.01939576	0.77230408		
protein K11-linked ubiquitination	GO:0070979	23	23	0.62411303	0.01949587	0.76992693		
HOPS complex	GO:0030897	10	10	0.68694675	0.01972385	0.77259752		
dorsal spinal cord development	GO:0021516	17	17	0.64245698	0.02071357	0.80482254		
centrosome	GO:0005813	291	291	0.53474653	0.02092481	0.80652578		
response to fungus	GO:0009620	28	28	0.61093722	0.02099242	0.80271031		
negative regulation of I-kappaB kinase/NF-kappaB signaling	GO:0043124	37	37	0.59659976	0.02100517	0.79687337		
regulation of RNA splicing	GO:0043484	46	46	0.58657557	0.02116982	0.7968451		
meiotic cell cycle	GO:0051321	132	131	0.55130635	0.02137909	0.79848406		
cell killing	GO:0001906	37	37	0.59623653	0.02139868	0.7930679		
negative regulation of JUN kinase activity	GO:0043508	11	11	0.6749517	0.02177182	0.80073749		
mitotic cytokinesis	GO:0000281	17	17	0.64103856	0.02177453	0.79477032		
vitamin D metabolic process	GO:0042359	10	10	0.68278186	0.0221343	0.80182734		
natural killer cell activation	GO:0030101	39	39	0.5931074	0.02213548	0.79588598		
negative regulation of proteolysis	GO:0045861	207	206	0.54066321	0.02226782	0.79471365		
positive regulation of tyrosine phosphorylation of Stat5 protein	GO:0042523	12	12	0.66635801	0.0225821	0.80000401		
keratinocyte differentiation	GO:0030216	77	77	0.56597496	0.02271095	0.79869616		
maintenance of cell number	GO:0098727	84	84	0.56308827	0.02286753	0.79837493		
ER to Golgi vesicle-mediated transport	GO:0006888	48	48	0.58333333	0.02299417	0.79702085		
negative regulation of intracellular estrogen receptor signaling pathway	GO:0033147	10	10	0.68111833	0.02316189	0.79709985		
positive regulation of glial cell differentiation	GO:0045687	24	23	0.61978316	0.0232444	0.79426613		
nuclear-transcribed mRNA poly(A) tail shortening	GO:0000289	17	17	0.63907349	0.02331843	0.79118455		
regulation of T-helper 1 type immune response	GO:0002825	18	18	0.63516168	0.02333869	0.78633441		
meiotic nuclear division	GO:0007126	126	125	0.55150868	0.02344501	0.78443109		
negative regulation of stress-activated MAPK cascade	GO:0032873	29	29	0.60640358	0.02362183	0.78489633	GO:0070303|negative regulation of stress-activated protein kinase signaling cascade, 	
negative regulation of stress-activated protein kinase signaling cascade	GO:0070303	29	29	0.60640358	0.02362183	0.78489633	GO:0032873|negative regulation of stress-activated MAPK cascade, 	
chromosome, centromeric region	GO:0000775	126	126	0.55113722	0.02380872	0.7856879		
nucleosome	GO:0000786	56	56	0.57661231	0.02384505	0.78153372		
fucose metabolic process	GO:0006004	14	14	0.65191856	0.02422239	0.78853713		
interaction with symbiont	GO:0051702	26	26	0.61116098	0.02481628	0.80244857		
response to BMP	GO:0071772	18	18	0.63330566	0.02492328	0.80053577	GO:0071773|cellular response to BMP stimulus, 	
cellular response to BMP stimulus	GO:0071773	18	18	0.63330566	0.02492328	0.80053577	GO:0071772|response to BMP, 	
cytoskeleton-dependent cytokinesis	GO:0061640	24	24	0.61531061	0.02517723	0.80333707		
negative regulation of peptidase activity	GO:0010466	135	134	0.54899913	0.02518521	0.79830491		
neuron fate specification	GO:0048665	26	25	0.61284881	0.02533023	0.79765401		
modification of morphology or physiology of other organism	GO:0035821	61	61	0.57223298	0.02573643	0.80518274		
positive regulation of extrinsic apoptotic signaling pathway	GO:2001238	47	47	0.58217655	0.02577063	0.80105108		
spindle checkpoint	GO:0031577	37	37	0.59248588	0.02583539	0.79791608		
regulation of mRNA processing	GO:0050684	48	48	0.58092837	0.02634671	0.80852521		
drug metabolic process	GO:0017144	24	24	0.61381682	0.02673086	0.81512197		
regulation of alternative mRNA splicing, via spliceosome	GO:0000381	17	17	0.63471103	0.02707042	0.82028491		
positive regulation of tolerance induction	GO:0002645	10	10	0.67504705	0.02724637	0.82045632		
spindle localization	GO:0051653	21	21	0.62061853	0.02775183	0.83048639		
negative regulation of epidermal cell differentiation	GO:0045605	10	10	0.67428814	0.02779543	0.82665663		
ncRNA metabolic process	GO:0034660	260	260	0.53427715	0.02875569	0.84996889		
histone H4 acetylation	GO:0043967	30	30	0.59991895	0.02913473	0.85592149		
positive regulation of viral life cycle	GO:1903902	58	57	0.57242183	0.02953521	0.86242814		
preribosome	GO:0030684	13	13	0.65042694	0.02999161	0.87047936		
positive regulation of natural killer cell mediated cytotoxicity	GO:0045954	10	10	0.67113715	0.03017118	0.87044765		
negative regulation of epithelial cell differentiation	GO:0030857	27	27	0.60431776	0.03033354	0.86992263		
DNA recombination	GO:0006310	159	157	0.5433887	0.03044804	0.86803945		
fucosylation	GO:0036065	12	12	0.65580788	0.03060627	0.86741776		
UDP-N-acetylglucosamine metabolic process	GO:0006047	10	10	0.67028414	0.03083916	0.86890695		
DNA packaging complex	GO:0044815	62	62	0.56819106	0.03169501	0.8878288		
regulation of chromatin organization	GO:1902275	82	82	0.55925034	0.03187495	0.88770827		
response to gamma radiation	GO:0010332	36	36	0.5891203	0.03224827	0.89294339		
negative regulation of epidermis development	GO:0045683	11	11	0.66059502	0.032373	0.89127491		
regulation of angiotensin metabolic process	GO:0060177	11	11	0.66057294	0.03239202	0.88673148		
spliceosomal snRNP complex	GO:0097525	21	21	0.61623271	0.03258603	0.88700284		
cell migration involved in gastrulation	GO:0042074	12	12	0.65341956	0.03270928	0.88535564		
regulation of systemic arterial blood pressure by renin-angiotensin	GO:0003081	17	17	0.62881581	0.0329119	0.88586329		
sequestering of metal ion	GO:0051238	10	10	0.66764617	0.0329905	0.88304583		
amino acid activation	GO:0043038	46	46	0.57841298	0.03309129	0.88084981	GO:0043039|tRNA aminoacylation, 	
tRNA aminoacylation	GO:0043039	46	46	0.57841298	0.03309129	0.88084981	GO:0043038|amino acid activation, 	
positive regulation of viral process	GO:0048524	59	58	0.56984318	0.03318676	0.87853751		
ribonucleoprotein complex	GO:0030529	458	455	0.52512435	0.03357808	0.8840393		
non-recombinational repair	GO:0000726	17	17	0.62770823	0.03411562	0.89331019		
Sertoli cell development	GO:0060009	11	11	0.65785174	0.0348054	0.90644555		
regulation of intracellular pH	GO:0051453	26	26	0.60242737	0.03539832	0.91693074		
cell fate specification	GO:0001708	53	52	0.57221049	0.03610675	0.9302799		
negative regulation of chemokine production	GO:0032682	11	11	0.65515814	0.0373333	0.95676523		
DNA damage response, signal transduction by p53 class mediator resulting in transcription of p21 class mediator	GO:0006978	13	13	0.64156593	0.03859758	0.98393204		
7-methylguanosine mRNA capping	GO:0006370	24	23	0.6058399	0.03957034	1		
regulation of transcription elongation from RNA polymerase II promoter	GO:0034243	16	16	0.6264918	0.03997808	1		
regulation of intracellular steroid hormone receptor signaling pathway	GO:0033143	39	39	0.58096838	0.04032512	1		
multicellular organismal water homeostasis	GO:0050891	27	27	0.59672533	0.04113067	1		
single-organism membrane fusion	GO:0044801	54	53	0.56882405	0.04187661	1		
T cell lineage commitment	GO:0002360	10	10	0.65734928	0.04254326	1		
7-methylguanosine RNA capping	GO:0009452	26	25	0.59949684	0.04271238	1	GO:0036260|RNA capping, 	
RNA capping	GO:0036260	26	25	0.59949684	0.04271238	1	GO:0009452|7-methylguanosine RNA capping, 	
acrosomal vesicle	GO:0001669	63	63	0.56238942	0.04343866	1		
ribosome biogenesis	GO:0042254	121	121	0.54509335	0.04345604	1		
chromatin remodeling	GO:0006338	86	86	0.55335362	0.04368452	1		
defense response to Gram-negative bacterium	GO:0050829	22	22	0.60536788	0.04373068	1		
Sertoli cell differentiation	GO:0060008	15	15	0.62755172	0.04374153	1		
water homeostasis	GO:0030104	34	34	0.58467841	0.04399961	1		
response to bacterium	GO:0009617	316	314	0.52792706	0.04477131	1		
spindle microtubule	GO:0005876	37	37	0.58059458	0.04518279	1		
nucleotide-excision repair	GO:0006289	65	64	0.56113994	0.04541693	1		
endocrine process	GO:0050886	37	36	0.58145333	0.0456779	1		
termination of RNA polymerase II transcription	GO:0006369	37	36	0.58121009	0.04616771	1		
protein polyubiquitination	GO:0000209	144	144	0.54066647	0.04618553	1		
endoderm development	GO:0007492	42	42	0.57519647	0.04620231	1		
heterochromatin	GO:0000792	48	48	0.57019666	0.04659914	1		
negative regulation of nuclear division	GO:0051784	51	51	0.56801165	0.04684543	1		
transcription from RNA polymerase I promoter	GO:0006360	30	29	0.59002679	0.04693223	1		
cell differentiation in spinal cord	GO:0021515	46	45	0.57197412	0.04777156	1		
plasma membrane fusion	GO:0045026	10	10	0.65211584	0.04816485	1		
positive regulation of osteoclast differentiation	GO:0045672	17	17	0.61659307	0.04826393	1		
base-excision repair	GO:0006284	36	36	0.58017635	0.04829622	1		
ATP-dependent chromatin remodeling	GO:0043044	27	27	0.59249355	0.04837168	1		
regulation of angiotensin levels in blood	GO:0002002	10	10	0.65173942	0.04859035	1		
regulation of tolerance induction	GO:0002643	13	13	0.6329665	0.04872237	1		
protein-DNA complex	GO:0032993	95	95	0.54896285	0.04963997	1		
polysome	GO:0005844	19	19	0.60923083	0.04991386	1		
spinal cord association neuron differentiation	GO:0021527	12	12	0.63733378	0.05005596	1		
transcription factor complex	GO:0005667	236	236	0.53108218	0.05027866	1		
establishment of spindle localization	GO:0051293	18	18	0.61108411	0.05168282	1		
defense response to virus	GO:0051607	121	121	0.5429007	0.05168994	1		
macroautophagy	GO:0016236	32	30	0.58600085	0.05184361	1		
RNA 3'-end processing	GO:0031123	57	56	0.56298761	0.0519781	1		
response to UV-B	GO:0010224	12	12	0.63556277	0.05233619	1		
DNA-directed RNA polymerase II, holoenzyme	GO:0016591	76	75	0.55408468	0.05274434	1		
phosphatidylserine metabolic process	GO:0006658	21	21	0.60208297	0.05299895	1		
phosphatidic acid biosynthetic process	GO:0006654	28	28	0.58837294	0.05310669	1	GO:0046473|phosphatidic acid metabolic process, 	
phosphatidic acid metabolic process	GO:0046473	28	28	0.58837294	0.05310669	1	GO:0006654|phosphatidic acid biosynthetic process, 	
condensed nuclear chromosome, centromeric region	GO:0000780	11	11	0.64077386	0.0533854	1		
regulation of retinoic acid receptor signaling pathway	GO:0048385	23	23	0.59718546	0.05366013	1		
phosphatidylserine acyl-chain remodeling	GO:0036150	13	13	0.62911754	0.05387682	1		
regulation of oxidative stress-induced intrinsic apoptotic signaling pathway	GO:1902175	13	13	0.62900544	0.05403303	1		
microtubule organizing center	GO:0005815	384	383	0.52397473	0.0541048	1		
regulation of systemic arterial blood pressure by hormone	GO:0001990	28	27	0.58941426	0.05424776	1		
regulation of receptor biosynthetic process	GO:0010869	16	16	0.61612132	0.05426354	1		
chromosome organization	GO:0051276	592	591	0.51939716	0.05436669	1		
T cell apoptotic process	GO:0070231	13	13	0.62872984	0.05441853	1		
nucleosome assembly	GO:0006334	81	81	0.5515259	0.05453167	1		
pore complex	GO:0046930	77	77	0.55283634	0.05454677	1		
SMAD protein signal transduction	GO:0060395	13	13	0.62858738	0.05461536	1		
inner cell mass cell proliferation	GO:0001833	11	11	0.63892477	0.0557852	1		
histone exchange	GO:0043486	22	22	0.59813089	0.05590864	1		
megakaryocyte differentiation	GO:0030219	12	12	0.63260773	0.05631865	1		
membrane disassembly	GO:0030397	34	34	0.57870557	0.05651396	1	GO:0051081|nuclear envelope disassembly, 	
nuclear envelope disassembly	GO:0051081	34	34	0.57870557	0.05651396	1	GO:0030397|membrane disassembly, 	
acute inflammatory response	GO:0002526	54	54	0.56231103	0.05711298	1		
transcription-coupled nucleotide-excision repair	GO:0006283	38	37	0.57509023	0.05740331	1		
regulation of smooth muscle cell differentiation	GO:0051150	16	16	0.61379441	0.05795636	1		
DNA-directed RNA polymerase complex	GO:0000428	91	90	0.54780571	0.05858962	1	GO:0055029|nuclear DNA-directed RNA polymerase complex, 	
nuclear DNA-directed RNA polymerase complex	GO:0055029	91	90	0.54780571	0.05858962	1	GO:0000428|DNA-directed RNA polymerase complex, 	
humoral immune response	GO:0006959	96	96	0.54619475	0.05899194	1		
carboxy-terminal domain protein kinase complex	GO:0032806	14	14	0.62096487	0.05903206	1		
purine nucleoside catabolic process	GO:0006152	13	13	0.62494161	0.05993515	1	GO:0046130|purine ribonucleoside catabolic process, 	
purine ribonucleoside catabolic process	GO:0046130	13	13	0.62494161	0.05993515	1	GO:0006152|purine nucleoside catabolic process, 	
regulation of mesenchymal cell apoptotic process	GO:2001053	10	10	0.64243215	0.06006346	1		
nucleotide-excision repair, DNA damage removal	GO:0000718	19	19	0.60323296	0.06008221	1	GO:0044349|DNA excision, 	
DNA excision	GO:0044349	19	19	0.60323296	0.06008221	1	GO:0000718|nucleotide-excision repair, DNA damage removal, 	
Notch receptor processing	GO:0007220	18	18	0.60583834	0.06048005	1		
RNA polymerase complex	GO:0030880	92	91	0.54688701	0.06116325	1		
positive regulation of interleukin-4 production	GO:0032753	13	13	0.62407746	0.06125144	1		
sodium ion homeostasis	GO:0055078	15	15	0.61538524	0.0614196	1		
RNA phosphodiester bond hydrolysis	GO:0090501	49	49	0.5638848	0.06143975	1		
small nuclear ribonucleoprotein complex	GO:0030532	30	30	0.58134257	0.06198324	1		
response to type I interferon	GO:0034340	58	58	0.55840421	0.06254876	1		
peptide cross-linking	GO:0018149	26	26	0.58684407	0.06312468	1		
regulation of mRNA metabolic process	GO:1903311	54	54	0.56029707	0.06323589	1		
B cell activation	GO:0042113	103	103	0.54343086	0.06399641	1		
positive regulation of T cell apoptotic process	GO:0070234	10	10	0.63931152	0.06433756	1		
negative regulation of chromosome segregation	GO:0051985	35	35	0.57425861	0.06470138	1		
chromatin assembly	GO:0031497	92	92	0.5457173	0.06491988	1		
negative regulation of cell cycle process	GO:0010948	171	171	0.53360099	0.06499558	1		
nuclear division	GO:0000280	355	354	0.52344745	0.06530701	1		
nuclear envelope organization	GO:0006998	48	48	0.56322643	0.06537508	1		
establishment of mitotic spindle localization	GO:0040001	12	12	0.62634849	0.06551769	1		
Golgi vesicle transport	GO:0048193	165	165	0.53404466	0.06587408	1		
RNA phosphodiester bond hydrolysis, exonucleolytic	GO:0090503	19	19	0.5999271	0.06633125	1		
tRNA aminoacylation for protein translation	GO:0006418	44	44	0.56566117	0.06644835	1		
organelle fission	GO:0048285	374	373	0.52257558	0.06769987	1		
regulation of lymphocyte mediated immunity	GO:0002706	79	79	0.54860823	0.06771812	1		
endodermal cell fate commitment	GO:0001711	10	10	0.63677979	0.06797003	1		
epidermis morphogenesis	GO:0048730	29	29	0.57996093	0.06858547	1		
granulocyte differentiation	GO:0030851	13	13	0.61927795	0.06896279	1		
regulation of meiotic cell cycle	GO:0051445	30	30	0.57832553	0.06932659	1		
ribonucleoside catabolic process	GO:0042454	22	22	0.59140067	0.0694581	1		
estrogen metabolic process	GO:0008210	18	18	0.60104139	0.06949956	1		
regulation of systemic arterial blood pressure by circulatory renin-angiotensin	GO:0001991	12	12	0.62377801	0.06960808	1		
membrane protein proteolysis	GO:0033619	24	24	0.58707288	0.07045405	1		
negative regulation of protein processing	GO:0010955	16	16	0.6066239	0.07055874	1	GO:1903318|negative regulation of protein maturation, 	
negative regulation of protein maturation	GO:1903318	16	16	0.6066239	0.07055874	1	GO:0010955|negative regulation of protein processing, 	
meiotic cell cycle process	GO:1903046	74	73	0.54982117	0.07061068	1		
