Name	ID	NumGenes	ROC	Pvalue	CorrectedPvalue	Same as	GeneMembers
postsynaptic density	GO:0014069	96	0.67592246	1.31E-009	1.47E-007		
presynapse	GO:0098793	105	0.66782574	1.44E-009	1.58E-007		
regulation of membrane potential	GO:0042391	191	0.62475051	1.45E-009	1.55E-007		
cell morphogenesis involved in differentiation	GO:0000904	518	0.57618493	1.70E-009	1.78E-007		
cellular component morphogenesis	GO:0032989	736	0.56397489	2.10E-009	2.15E-007		
regulation of cellular localization	GO:0060341	693	0.56555361	2.45E-009	2.46E-007		
neuron spine	GO:0044309	73	0.69655798	3.23E-009	3.17E-007		
regulation of ion transmembrane transport	GO:0034765	122	0.65182323	3.57E-009	3.44E-007		
ionotropic glutamate receptor complex	GO:0008328	40	0.75372088	3.94E-009	3.72E-007		
dendritic spine	GO:0043197	71	0.69795642	4.07E-009	3.77E-007		
synaptic vesicle	GO:0008021	97	0.66791589	5.59E-009	5.08E-007		
regulation of metal ion transport	GO:0010959	187	0.61986631	8.23E-009	7.34E-007		
single-organism behavior	GO:0044708	294	0.59583224	8.45E-009	7.41E-007		
positive regulation of MAPK cascade	GO:0043410	308	0.59305844	1.05E-008	9.00E-007		
sarcolemma	GO:0042383	84	0.67601797	1.25E-008	1.05E-006		
regulation of synaptic transmission	GO:0050804	177	0.62105795	1.44E-008	1.19E-006		
muscle system process	GO:0003012	215	0.60904769	1.87E-008	1.53E-006		
regulation of neuron projection development	GO:0010975	213	0.60941235	1.95E-008	1.56E-006		
cation transmembrane transport	GO:0098655	234	0.60363425	2.49E-008	1.96E-006		
inorganic cation transmembrane transport	GO:0098662	232	0.60398903	2.55E-008	1.98E-006		
regulation of ion transmembrane transporter activity	GO:0032412	94	0.66255913	2.61E-008	1.99E-006		
cell body	GO:0044297	284	0.59388497	2.77E-008	2.08E-006		
transmembrane receptor protein tyrosine kinase signaling pathway	GO:0007169	481	0.57226982	3.16E-008	2.34E-006		
neuronal cell body	GO:0043025	252	0.59889239	3.40E-008	2.48E-006		
regulation of blood circulation	GO:1903522	167	0.62057716	3.93E-008	2.83E-006		
regulation of secretion by cell	GO:1903530	393	0.57897697	4.20E-008	2.98E-006		
regulation of secretion	GO:0051046	429	0.57562928	4.28E-008	2.99E-006		
neuron-neuron synaptic transmission	GO:0007270	51	0.71083861	4.77E-008	3.28E-006		
regulation of transporter activity	GO:0032409	105	0.65068364	4.87E-008	3.31E-006		
regulation of peptide secretion	GO:0002791	152	0.62540008	4.89E-008	3.27E-006		
regulation of transmembrane transport	GO:0034762	129	0.63599029	4.93E-008	3.25E-006		
cell adhesion	GO:0007155	810	0.55513739	5.77E-008	3.76E-006		
biological adhesion	GO:0022610	813	0.55468746	6.95E-008	4.47E-006		
regulation of insulin secretion	GO:0050796	138	0.62984285	7.14E-008	4.53E-006		
single-organism biosynthetic process	GO:0044711	926	0.55123938	7.72E-008	4.83E-006		
transmembrane transport	GO:0055085	699	0.55850429	7.89E-008	4.88E-006		
regulation of transmembrane transporter activity	GO:0022898	97	0.6531759	9.42E-008	5.75E-006		
regulation of protein localization	GO:0032880	520	0.56696949	9.65E-008	5.81E-006		
regulation of peptide hormone secretion	GO:0090276	149	0.62362645	9.77E-008	5.81E-006		
potassium ion transport	GO:0006813	96	0.65213515	1.31E-007	7.72E-006		
regulation of hormone secretion	GO:0046883	183	0.61035867	1.36E-007	7.86E-006		
behavior	GO:0007610	395	0.57525492	1.54E-007	8.83E-006		
positive regulation of cell communication	GO:0010647	991	0.54811691	1.82E-007	1.03E-005		
positive regulation of signaling	GO:0023056	988	0.54798131	2.04E-007	1.14E-005		
regulation of muscle system process	GO:0090257	140	0.62344322	2.35E-007	1.30E-005		
muscle contraction	GO:0006936	178	0.60957417	2.37E-007	1.30E-005		
axon part	GO:0033267	102	0.64434911	2.40E-007	1.30E-005		
small GTPase mediated signal transduction	GO:0007264	355	0.57777275	2.57E-007	1.38E-005		
regulation of small GTPase mediated signal transduction	GO:0051056	269	0.58895494	2.69E-007	1.42E-005		
synaptic transmission, glutamatergic	GO:0035249	32	0.74389401	3.90E-007	2.04E-005		
synaptic vesicle membrane	GO:0030672	41	0.71686695	4.13E-007	2.14E-005		
protein complex subunit organization	GO:0071822	969	0.54702062	4.35E-007	2.23E-005		
cognition	GO:0050890	178	0.60643092	4.99E-007	2.53E-005		
axon guidance	GO:0007411	317	0.57988651	5.32E-007	2.67E-005	GO:0097485|neuron projection guidance, 	
neuron projection guidance	GO:0097485	317	0.57988651	5.32E-007	2.67E-005	GO:0007411|axon guidance, 	
regulation of synaptic plasticity	GO:0048167	87	0.65115321	5.56E-007	2.76E-005		
extracellular matrix	GO:0031012	337	0.57723883	5.83E-007	2.87E-005		
protein oligomerization	GO:0051259	328	0.57821369	5.94E-007	2.89E-005		
brain development	GO:0007420	494	0.564	6.08E-007	2.93E-005		
regulation of peptide transport	GO:0090087	186	0.60318143	6.27E-007	2.99E-005		
generation of precursor metabolites and energy	GO:0006091	313	0.57982873	6.31E-007	2.98E-005		
positive regulation of phosphorus metabolic process	GO:0010562	711	0.55359243	6.42E-007	3.00E-005	GO:0045937|positive regulation of phosphate metabolic process, 	
positive regulation of phosphate metabolic process	GO:0045937	711	0.55359243	6.42E-007	3.00E-005	GO:0010562|positive regulation of phosphorus metabolic process, 	
positive regulation of intracellular signal transduction	GO:1902533	603	0.5577818	7.03E-007	3.26E-005		
head development	GO:0060322	518	0.56165029	8.62E-007	3.95E-005		
synapse organization	GO:0050808	108	0.63317996	8.83E-007	4.01E-005		
central nervous system development	GO:0007417	658	0.55485594	8.94E-007	4.03E-005		
T-tubule	GO:0030315	32	0.73630806	9.05E-007	4.04E-005		
divalent metal ion transport	GO:0070838	164	0.60798815	9.37E-007	4.14E-005		
monovalent inorganic cation transport	GO:0015672	276	0.58331679	9.95E-007	4.36E-005		
adenylate cyclase-modulating G-protein coupled receptor signaling pathway	GO:0007188	101	0.63671466	1.04E-006	4.53E-005		
G-protein coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger	GO:0007187	131	0.61991082	1.09E-006	4.71E-005		
cellular potassium ion transport	GO:0071804	53	0.6821654	1.56E-006	6.66E-005	GO:0071805|potassium ion transmembrane transport, 	
potassium ion transmembrane transport	GO:0071805	53	0.6821654	1.56E-006	6.66E-005	GO:0071804|cellular potassium ion transport, 	
circulatory system process	GO:0003013	243	0.58638617	1.83E-006	7.72E-005		
inorganic ion transmembrane transport	GO:0098660	273	0.58148285	1.87E-006	7.85E-005		
enzyme linked receptor protein signaling pathway	GO:0007167	651	0.55326448	1.98E-006	8.21E-005		
regulation of cell projection organization	GO:0031344	275	0.58090606	2.03E-006	8.35E-005		
calcium ion transport	GO:0006816	135	0.61482048	2.09E-006	8.53E-005		
regulation of protein transport	GO:0051223	419	0.56530653	2.42E-006	9.81E-005		
actin filament-based process	GO:0030029	331	0.57293407	2.68E-006	1.08E-004		
positive regulation of transport	GO:0051050	521	0.55843459	2.73E-006	1.09E-004		
cellular response to oxygen-containing compound	GO:1901701	550	0.55691887	2.73E-006	1.08E-004		
membrane depolarization	GO:0051899	65	0.66117296	2.74E-006	1.07E-004		
regulation of cellular component movement	GO:0051270	477	0.56082003	2.89E-006	1.12E-004		
perinuclear region of cytoplasm	GO:0048471	440	0.56319021	2.95E-006	1.14E-004		
divalent inorganic cation transport	GO:0072511	167	0.60167234	2.97E-006	1.14E-004		
blood circulation	GO:0008015	241	0.58449413	3.24E-006	1.23E-004		
regulation of glucose metabolic process	GO:0010906	71	0.65375887	3.76E-006	1.42E-004		
multicellular organismal signaling	GO:0035637	68	0.65665398	3.99E-006	1.49E-004		
oxoacid metabolic process	GO:0043436	771	0.54751404	4.06E-006	1.51E-004		
learning or memory	GO:0007611	161	0.60184109	4.21E-006	1.55E-004		
regulation of protein secretion	GO:0050708	256	0.58095748	4.25E-006	1.55E-004		
proteinaceous extracellular matrix	GO:0005578	277	0.5778116	4.33E-006	1.57E-004		
gamma-aminobutyric acid signaling pathway	GO:0007214	21	0.76821443	4.58E-006	1.65E-004		
regulation of heart contraction	GO:0008016	123	0.61565858	4.78E-006	1.71E-004		
sulfur compound biosynthetic process	GO:0044272	143	0.60715934	4.94E-006	1.75E-004		
negative regulation of transport	GO:0051051	278	0.57692098	5.29E-006	1.86E-004		
regulation of muscle contraction	GO:0006937	119	0.6166548	5.61E-006	1.96E-004		
positive regulation of multicellular organismal process	GO:0051240	938	0.54259965	5.70E-006	1.97E-004		
regulation of neuron differentiation	GO:0045664	319	0.57162336	5.72E-006	1.97E-004		
regulation of actin filament-based process	GO:0032970	219	0.58583377	6.19E-006	2.12E-004		
multicellular organismal response to stress	GO:0033555	58	0.66349495	6.55E-006	2.22E-004		
energy derivation by oxidation of organic compounds	GO:0015980	250	0.58004953	6.78E-006	2.28E-004		
regulation of MAPK cascade	GO:0043408	430	0.56130133	6.95E-006	2.32E-004		
regulation of cell morphogenesis involved in differentiation	GO:0010769	187	0.59195636	7.42E-006	2.46E-004		
neurotransmitter transport	GO:0006836	91	0.63129019	7.58E-006	2.50E-004		
organophosphate metabolic process	GO:0019637	628	0.550659	8.05E-006	2.64E-004		
organic acid metabolic process	GO:0006082	785	0.54536484	8.67E-006	2.82E-004		
regulation of establishment of protein localization	GO:0070201	464	0.55824509	9.16E-006	2.96E-004		
adherens junction	GO:0005912	171	0.59505954	9.20E-006	2.95E-004		
response to oxygen-containing compound	GO:1901700	937	0.54155498	9.38E-006	2.99E-004		
positive regulation of phospholipid metabolic process	GO:1903727	32	0.71329374	9.52E-006	3.02E-004		
regulation of cation transmembrane transport	GO:1904062	75	0.64264822	9.79E-006	3.08E-004		
vesicle-mediated transport	GO:0016192	775	0.54524685	1.02E-005	3.21E-004		
cell leading edge	GO:0031252	241	0.5795638	1.08E-005	3.36E-004		
regulation of homeostatic process	GO:0032844	258	0.57687514	1.10E-005	3.40E-004		
actin cytoskeleton	GO:0015629	317	0.56938931	1.13E-005	3.46E-004		
myofibril	GO:0030016	159	0.597271	1.18E-005	3.59E-004		
regulation of behavior	GO:0050795	143	0.60220863	1.25E-005	3.78E-004		
voltage-gated sodium channel complex	GO:0001518	14	0.80631393	1.33E-005	4.01E-004		
extrinsic component of membrane	GO:0019898	128	0.60748506	1.36E-005	4.07E-004		
positive regulation of molecular function	GO:0044093	936	0.54073557	1.38E-005	4.10E-004		
regulation of locomotion	GO:0040012	463	0.5570395	1.39E-005	4.10E-004		
positive regulation of phosphorylation	GO:0042327	625	0.54895172	1.61E-005	4.72E-004		
calcium channel complex	GO:0034704	42	0.68244071	1.61E-005	4.71E-004		
positive regulation of signal transduction	GO:0009967	903	0.54105884	1.63E-005	4.72E-004		
regulation of nervous system development	GO:0051960	438	0.55792317	1.71E-005	4.94E-004		
oxidation-reduction process	GO:0055114	432	0.55830221	1.72E-005	4.93E-004		
neurotrophin signaling pathway	GO:0038179	237	0.57820986	1.73E-005	4.94E-004		
memory	GO:0007613	73	0.64012585	1.75E-005	4.96E-004		
neurotrophin TRK receptor signaling pathway	GO:0048011	234	0.57860136	1.77E-005	4.99E-004		
contractile fiber	GO:0043292	165	0.59298978	1.92E-005	5.38E-004		
homophilic cell adhesion via plasma membrane adhesion molecules	GO:0007156	106	0.61527438	2.08E-005	5.81E-004		
negative regulation of ion transport	GO:0043271	65	0.64560747	2.12E-005	5.88E-004		
regulation of postsynaptic membrane potential	GO:0060078	41	0.68142098	2.22E-005	6.12E-004		
cell-cell junction	GO:0005911	250	0.57504627	2.26E-005	6.19E-004		
regulation of cell morphogenesis	GO:0022604	300	0.56841749	2.38E-005	6.47E-004		
regulation of phosphorylation	GO:0042325	920	0.53979465	2.43E-005	6.56E-004		
regulation of excitatory postsynaptic membrane potential	GO:0060079	38	0.68714571	2.45E-005	6.60E-004		
positive regulation of catalytic activity	GO:0043085	753	0.54350312	2.68E-005	7.17E-004		
neuron projection membrane	GO:0032589	27	0.71873776	2.76E-005	7.35E-004		
positive regulation of cellular protein metabolic process	GO:0032270	903	0.53983053	2.78E-005	7.36E-004		
positive regulation of ERK1 and ERK2 cascade	GO:0070374	87	0.62503769	2.80E-005	7.36E-004		
regulation of insulin secretion involved in cellular response to glucose stimulus	GO:0061178	31	0.70452397	2.85E-005	7.47E-004		
regulation of cell-substrate adhesion	GO:0010810	111	0.60990165	3.20E-005	8.34E-004		
regulation of glutamate receptor signaling pathway	GO:1900449	23	0.73388652	3.22E-005	8.33E-004		
actin cytoskeleton organization	GO:0030036	294	0.56780342	3.29E-005	8.47E-004		
I band	GO:0031674	99	0.61601456	3.35E-005	8.59E-004		
positive regulation of kinase activity	GO:0033674	389	0.55903962	3.36E-005	8.57E-004		
sarcoplasm	GO:0016528	57	0.65102097	3.44E-005	8.71E-004		
presynaptic membrane	GO:0042734	42	0.67474487	3.53E-005	8.91E-004		
positive regulation of neurotransmitter transport	GO:0051590	11	0.82433074	3.56E-005	8.92E-004		
regulation of cellular carbohydrate metabolic process	GO:0010675	101	0.61438817	3.59E-005	8.97E-004		
energy reserve metabolic process	GO:0006112	129	0.60123551	3.63E-005	9.03E-004		
positive regulation of ion transport	GO:0043270	143	0.59603015	3.74E-005	9.24E-004		
central nervous system projection neuron axonogenesis	GO:0021952	21	0.74175201	3.81E-005	9.37E-004		
regulation of kinase activity	GO:0043549	585	0.54806531	3.83E-005	9.36E-004		
sarcomere	GO:0030017	141	0.59629483	4.01E-005	9.75E-004		
locomotion	GO:0040011	888	0.53918938	4.16E-005	1.01E-003		
locomotory behavior	GO:0007626	148	0.59323625	4.59E-005	1.11E-003		
contractile fiber part	GO:0044449	154	0.59129388	4.69E-005	1.12E-003		
chemotaxis	GO:0006935	491	0.55153998	4.88E-005	1.16E-003	GO:0042330|taxis, 	
taxis	GO:0042330	491	0.55153998	4.88E-005	1.16E-003	GO:0006935|chemotaxis, 	
neuron projection terminus	GO:0044306	61	0.6430842	4.90E-005	1.16E-003		
axon terminus	GO:0043679	56	0.64911068	4.92E-005	1.16E-003		
response to organic cyclic compound	GO:0014070	539	0.54919049	5.00E-005	1.17E-003		
sodium ion transmembrane transport	GO:0035725	56	0.64895847	5.01E-005	1.17E-003		
regulation of muscle adaptation	GO:0043502	32	0.69485987	5.10E-005	1.19E-003		
cellular response to nitrogen compound	GO:1901699	353	0.56029956	5.18E-005	1.20E-003		
anchoring junction	GO:0070161	183	0.58330366	5.18E-005	1.20E-003		
regulation of dendrite development	GO:0050773	67	0.63712903	5.22E-005	1.20E-003		
cardiovascular system development	GO:0072358	628	0.54556488	5.24E-005	1.20E-003	GO:0072359|circulatory system development, 	
circulatory system development	GO:0072359	628	0.54556488	5.24E-005	1.20E-003	GO:0072358|cardiovascular system development, 	
fear response	GO:0042596	26	0.7142019	5.47E-005	1.24E-003		
negative regulation of cell proliferation	GO:0008285	493	0.55106511	5.48E-005	1.24E-003		
regulation of dendrite morphogenesis	GO:0048814	42	0.67022093	5.51E-005	1.24E-003		
secretion by cell	GO:0032940	356	0.55974758	5.61E-005	1.26E-003		
regulation of neurotransmitter levels	GO:0001505	97	0.61328723	5.82E-005	1.30E-003		
positive regulation of ion transmembrane transport	GO:0034767	46	0.6622333	5.89E-005	1.31E-003		
cellular response to organonitrogen compound	GO:0071417	326	0.56214234	5.95E-005	1.32E-003		
positive regulation of protein phosphorylation	GO:0001934	608	0.54579768	6.18E-005	1.36E-003		
regulation of anatomical structure size	GO:0090066	230	0.57347949	6.33E-005	1.39E-003		
regulation of carbohydrate metabolic process	GO:0006109	108	0.60658101	6.56E-005	1.43E-003		
positive regulation of neuron projection development	GO:0010976	117	0.60237216	6.62E-005	1.44E-003		
chemical homeostasis	GO:0048878	590	0.5461645	6.83E-005	1.48E-003		
alpha-amino-3-hydroxy-5-methyl-4-isoxazolepropionic acid selective glutamate receptor complex	GO:0032281	20	0.73908936	6.86E-005	1.48E-003		
regulation of receptor activity	GO:0010469	68	0.63342186	7.14E-005	1.53E-003		
Z disc	GO:0030018	85	0.61915173	7.37E-005	1.57E-003		
regulation of cell motility	GO:2000145	423	0.55390669	7.51E-005	1.59E-003		
regulation of Ran protein signal transduction	GO:0032015	107	0.60607311	7.58E-005	1.60E-003	GO:0032485|regulation of Ral protein signal transduction, GO:0043087|regulation of GTPase activity, 	
regulation of Ral protein signal transduction	GO:0032485	107	0.60607311	7.58E-005	1.60E-003	GO:0043087|regulation of GTPase activity, GO:0032015|regulation of Ran protein signal transduction, 	
regulation of GTPase activity	GO:0043087	107	0.60607311	7.58E-005	1.60E-003	GO:0032485|regulation of Ral protein signal transduction, GO:0032015|regulation of Ran protein signal transduction, 	
cellular response to organic cyclic compound	GO:0071407	187	0.58037242	7.67E-005	1.61E-003		
regulation of Rab protein signal transduction	GO:0032483	109	0.60497448	7.72E-005	1.62E-003		
sulfur compound metabolic process	GO:0006790	269	0.56714128	7.74E-005	1.61E-003		
positive regulation of protein modification process	GO:0031401	753	0.54072938	7.78E-005	1.62E-003		
regulation of ARF protein signal transduction	GO:0032012	108	0.60530548	7.89E-005	1.63E-003		
innervation	GO:0060384	17	0.75539144	8.04E-005	1.66E-003		
transmission of nerve impulse	GO:0019226	39	0.67212018	8.19E-005	1.68E-003		
positive regulation of lipid metabolic process	GO:0045834	86	0.61762626	8.20E-005	1.68E-003		
sarcoplasmic reticulum	GO:0016529	52	0.64940513	8.48E-005	1.72E-003		
response to endogenous stimulus	GO:0009719	997	0.53543506	8.61E-005	1.74E-003		
regulation of ERK1 and ERK2 cascade	GO:0070372	120	0.59932563	8.66E-005	1.75E-003		
adenylate cyclase-inhibiting G-protein coupled receptor signaling pathway	GO:0007193	47	0.65665628	8.70E-005	1.75E-003		
regulation of calcium ion transport	GO:0051924	132	0.594589	8.86E-005	1.77E-003		
negative regulation of chemotaxis	GO:0050922	24	0.71596939	8.91E-005	1.77E-003		
regulation of cell migration	GO:0030334	403	0.55447497	9.15E-005	1.81E-003		
positive regulation of synaptic transmission	GO:0050806	62	0.63602308	9.63E-005	1.90E-003		
secretion	GO:0046903	444	0.55169612	9.88E-005	1.94E-003		
regulation of Rap protein signal transduction	GO:0032487	109	0.60326032	9.88E-005	1.94E-003		
regulation of cellular component biogenesis	GO:0044087	362	0.55696908	1.02E-004	2.00E-003		
regulation of phospholipid metabolic process	GO:1903725	43	0.66176783	1.03E-004	2.00E-003		
carboxylic acid metabolic process	GO:0019752	672	0.5421511	1.05E-004	2.03E-003		
positive regulation of protein metabolic process	GO:0051247	966	0.53546878	1.06E-004	2.04E-003		
cGMP metabolic process	GO:0046068	15	0.76588931	1.07E-004	2.05E-003		
negative regulation of neuron projection development	GO:0010977	74	0.62435694	1.09E-004	2.08E-003		
regulation of protein phosphorylation	GO:0001932	875	0.53705513	1.10E-004	2.10E-003		
cell-cell contact zone	GO:0044291	45	0.65731321	1.13E-004	2.13E-003		
cerebellar cortex morphogenesis	GO:0021696	26	0.70465605	1.14E-004	2.15E-003		
behavioral fear response	GO:0001662	22	0.72152566	1.14E-004	2.15E-003	GO:0002209|behavioral defense response, 	
behavioral defense response	GO:0002209	22	0.72152566	1.14E-004	2.15E-003	GO:0001662|behavioral fear response, 	
protein homooligomerization	GO:0051260	203	0.57505143	1.16E-004	2.18E-003		
regulation of actin cytoskeleton organization	GO:0032956	183	0.57892483	1.18E-004	2.20E-003		
sodium ion transport	GO:0006814	92	0.61079011	1.21E-004	2.25E-003		
response to lipid	GO:0033993	520	0.54720533	1.22E-004	2.25E-003		
regulation of nucleotide biosynthetic process	GO:0030808	98	0.60690649	1.29E-004	2.37E-003	GO:1900371|regulation of purine nucleotide biosynthetic process, 	
regulation of purine nucleotide biosynthetic process	GO:1900371	98	0.60690649	1.29E-004	2.37E-003	GO:0030808|regulation of nucleotide biosynthetic process, 	
cellular lipid metabolic process	GO:0044255	679	0.54123436	1.34E-004	2.46E-003		
regulation of protein kinase activity	GO:0045859	555	0.54521373	1.43E-004	2.63E-003		
telencephalon development	GO:0021537	154	0.58467668	1.46E-004	2.66E-003		
viral transcription	GO:0019083	58	0.6364261	1.49E-004	2.70E-003		
neurotransmitter secretion	GO:0007269	67	0.62772133	1.51E-004	2.73E-003		
receptor complex	GO:0043235	230	0.5692027	1.53E-004	2.76E-003		
regulation of neurogenesis	GO:0050767	394	0.55312444	1.54E-004	2.77E-003		
main axon	GO:0044304	41	0.66094891	1.56E-004	2.79E-003		
plasma membrane region	GO:0098590	514	0.54660908	1.57E-004	2.81E-003		
regulation of Cdc42 protein signal transduction	GO:0032489	110	0.59937917	1.60E-004	2.85E-003		
glutamate receptor signaling pathway	GO:0007215	30	0.68657224	1.63E-004	2.89E-003		
long-term memory	GO:0007616	26	0.69896922	1.73E-004	3.06E-003		
central nervous system neuron axonogenesis	GO:0021955	25	0.7026106	1.75E-004	3.08E-003		
response to wounding	GO:0009611	586	0.5434087	1.75E-004	3.07E-003		
leading edge membrane	GO:0031256	95	0.60607579	1.78E-004	3.10E-003		
protein localization to membrane	GO:0072657	225	0.56915177	1.80E-004	3.12E-003		
positive regulation of lipid kinase activity	GO:0090218	25	0.70137579	1.91E-004	3.31E-003		
regulation of Rac protein signal transduction	GO:0035020	119	0.59431723	1.92E-004	3.31E-003		
positive regulation of endothelial cell migration	GO:0010595	48	0.64664344	1.97E-004	3.39E-003		
mast cell mediated immunity	GO:0002448	11	0.7941657	2.00E-004	3.42E-003		
neuroepithelial cell differentiation	GO:0060563	57	0.63460351	2.02E-004	3.45E-003		
regulation of dephosphorylation	GO:0035303	86	0.6101761	2.08E-004	3.54E-003		
receptor-mediated endocytosis	GO:0006898	86	0.61013178	2.09E-004	3.54E-003		
organic hydroxy compound metabolic process	GO:1901615	393	0.55185649	2.17E-004	3.67E-003		
response to organonitrogen compound	GO:0010243	560	0.54361019	2.21E-004	3.72E-003		
negative regulation of secretion by cell	GO:1903531	109	0.59744064	2.22E-004	3.73E-003		
ribonucleotide metabolic process	GO:0009259	234	0.56667858	2.26E-004	3.78E-003		
regulation of cell-matrix adhesion	GO:0001952	60	0.63019102	2.26E-004	3.77E-003		
protein transport	GO:0015031	924	0.53425022	2.29E-004	3.81E-003		
regulation of axonogenesis	GO:0050770	92	0.60555396	2.35E-004	3.89E-003		
regulation of anion transport	GO:0044070	78	0.61455495	2.36E-004	3.89E-003		
phosphorylation	GO:0016310	639	0.54070754	2.37E-004	3.90E-003		
cell projection membrane	GO:0031253	201	0.57158648	2.38E-004	3.90E-003		
Rho protein signal transduction	GO:0007266	36	0.66618273	2.40E-004	3.93E-003		
regulation of cardiac muscle contraction	GO:0055117	56	0.63400522	2.41E-004	3.93E-003		
regulation of cyclic nucleotide biosynthetic process	GO:0030802	96	0.60308844	2.43E-004	3.94E-003		
regulation of sodium ion transport	GO:0002028	43	0.65229955	2.44E-004	3.94E-003		
negative regulation of protein transport	GO:0051224	136	0.58650131	2.51E-004	4.04E-003		
regulation of chemotaxis	GO:0050920	107	0.59724986	2.57E-004	4.13E-003		
translational termination	GO:0006415	60	0.62895429	2.57E-004	4.11E-003		
inositol phosphate metabolic process	GO:0043647	42	0.65317161	2.63E-004	4.20E-003		
cell junction organization	GO:0034330	159	0.57968448	2.66E-004	4.24E-003		
positive regulation of phosphatidylinositol 3-kinase activity	GO:0043552	24	0.70039851	2.68E-004	4.25E-003		
negative regulation of behavior	GO:0048521	35	0.66682997	2.74E-004	4.33E-003		
regulation of epithelial cell proliferation	GO:0050678	199	0.57110003	2.77E-004	4.36E-003		
regulation of neurotransmitter transport	GO:0051588	38	0.66005211	2.80E-004	4.39E-003		
negative regulation of secretion	GO:0051048	122	0.59049889	2.81E-004	4.39E-003		
striated muscle contraction	GO:0006941	63	0.62490259	2.86E-004	4.46E-003		
positive regulation of protein kinase activity	GO:0045860	369	0.55232201	2.88E-004	4.48E-003		
positive regulation of transmembrane transport	GO:0034764	49	0.64100598	2.91E-004	4.51E-003		
heart development	GO:0007507	349	0.55367759	2.95E-004	4.55E-003		
intercalated disc	GO:0014704	41	0.65357249	2.97E-004	4.57E-003		
negative regulation of protein secretion	GO:0050709	66	0.62220022	3.00E-004	4.60E-003		
establishment of protein localization	GO:0045184	966	0.53282508	3.03E-004	4.64E-003		
ribose phosphate metabolic process	GO:0019693	243	0.56393642	3.05E-004	4.65E-003		
nucleobase-containing small molecule metabolic process	GO:0055086	399	0.55013552	3.05E-004	4.64E-003		
negative regulation of cell projection organization	GO:0031345	84	0.6080366	3.12E-004	4.72E-003		
action potential	GO:0001508	57	0.63024105	3.13E-004	4.73E-003		
